ID,teza,datum_oddaje,vmesna_postaja
2637,6.11,8/10/2018,4/28/2019
2638,5.31,4/8/2018,1/8/2019
2639,12.73,6/24/2018,4/19/2019
2640,7.79,1/20/2018,3/28/2019
2641,4.44,6/10/2018,1/27/2019
2642,12.87,2/4/2018,3/9/2019
2643,6.17,11/16/2018,1/13/2019
2644,19.12,2/5/2018,1/12/2019
2645,5.69,1/16/2018,3/26/2019
2646,17.10,11/6/2018,2/20/2019
2647,8.31,5/24/2018,4/9/2019
2648,7.44,1/14/2018,12/23/2018
2649,15.14,6/22/2018,1/3/2019
2650,14.55,6/21/2018,1/14/2019
2651,14.16,9/13/2018,12/11/2018
2652,18.93,6/15/2018,4/12/2019
2653,6.05,1/12/2018,5/5/2019
2654,7.29,5/6/2018,2/2/2019
2655,16.39,9/5/2018,12/10/2018
2656,3.01,3/12/2018,12/23/2018
2657,10.55,4/21/2018,3/4/2019
2658,17.24,3/21/2018,1/22/2019
2659,15.78,3/9/2018,12/15/2018
2660,10.42,5/20/2018,12/11/2018
2661,4.71,4/23/2018,4/9/2019
2662,7.10,9/1/2018,1/29/2019
2663,12.00,11/12/2018,4/18/2019
2664,17.11,2/18/2018,2/13/2019
2665,11.33,3/29/2018,3/27/2019
2666,18.82,11/2/2018,4/8/2019
2667,2.21,11/19/2018,5/10/2019
2668,5.86,8/4/2018,4/4/2019
2669,15.49,6/4/2018,1/3/2019
2670,5.02,10/17/2018,1/30/2019
2671,8.23,1/21/2018,12/30/2018
2672,9.40,1/19/2018,4/5/2019
2673,1.91,7/17/2018,5/16/2019
2674,17.51,9/8/2018,2/10/2019
2675,17.26,2/24/2018,5/11/2019
2676,12.24,7/4/2018,3/18/2019
2677,1.10,2/17/2018,3/19/2019
2678,4.86,11/7/2018,4/5/2019
2679,6.06,9/3/2018,5/10/2019
2680,18.05,6/27/2018,12/21/2018
2681,4.97,3/16/2018,1/22/2019
2682,15.76,9/13/2018,2/1/2019
2683,0.60,3/2/2018,1/26/2019
2684,13.61,5/29/2018,4/21/2019
2685,6.80,5/10/2018,1/19/2019
2686,8.22,4/24/2018,4/12/2019
2687,8.18,11/20/2018,1/24/2019
2688,3.28,11/26/2018,1/5/2019
2689,17.81,5/23/2018,1/16/2019
2690,11.62,3/17/2018,4/19/2019
2691,16.04,7/15/2018,1/9/2019
2692,8.96,2/5/2018,4/6/2019
2693,18.66,9/24/2018,12/10/2018
2694,8.21,3/25/2018,1/9/2019
2695,4.23,3/9/2018,2/26/2019
2696,7.85,6/4/2018,1/10/2019
2697,1.97,9/26/2018,3/29/2019
2698,7.28,1/8/2018,2/16/2019
2699,0.06,10/7/2018,4/6/2019
2700,11.14,8/25/2018,2/11/2019
2701,17.80,7/9/2018,4/19/2019
2702,14.07,7/14/2018,12/24/2018
2703,9.72,2/17/2018,3/8/2019
2704,5.54,11/20/2018,2/21/2019
2705,14.08,9/27/2018,3/5/2019
2706,2.39,5/22/2018,3/21/2019
2707,10.28,7/1/2018,12/18/2018
2708,10.23,4/29/2018,5/2/2019
2709,13.03,6/21/2018,12/21/2018
2710,11.71,10/15/2018,3/1/2019
2711,8.73,2/1/2018,12/7/2018
2712,5.97,11/2/2018,4/9/2019
2713,1.46,5/2/2018,2/2/2019
2714,17.46,2/7/2018,5/6/2019
2715,16.52,5/31/2018,4/14/2019
2716,13.47,9/27/2018,1/31/2019
2717,10.50,11/3/2018,4/23/2019
2718,11.07,8/28/2018,12/4/2018
2719,0.18,10/29/2018,3/20/2019
2720,11.76,6/24/2018,3/11/2019
2721,15.99,6/6/2018,4/7/2019
2722,18.59,6/24/2018,3/12/2019
2723,3.30,5/13/2018,3/3/2019
2724,18.05,3/6/2018,3/31/2019
2725,12.67,2/26/2018,1/10/2019
2726,14.73,6/22/2018,3/11/2019
2727,0.07,6/4/2018,2/7/2019
2728,12.08,10/21/2018,12/24/2018
2729,11.18,11/13/2018,2/28/2019
2730,8.98,9/27/2018,1/5/2019
2731,11.91,6/14/2018,4/23/2019
2732,6.45,1/16/2018,12/23/2018
2733,7.17,5/21/2018,1/16/2019
2734,5.49,2/11/2018,3/26/2019
2735,7.03,4/2/2018,5/6/2019
2736,8.29,3/25/2018,2/21/2019
2737,7.72,10/15/2018,1/24/2019
2738,3.64,9/6/2018,4/30/2019
2739,14.49,1/19/2018,1/10/2019
2740,3.26,10/23/2018,12/30/2018
2741,13.42,10/24/2018,3/2/2019
2742,10.17,10/10/2018,3/22/2019
2743,11.21,9/6/2018,4/6/2019
2744,3.15,9/2/2018,3/11/2019
2745,9.90,9/7/2018,2/9/2019
2746,19.43,3/10/2018,3/25/2019
2747,0.25,6/25/2018,2/12/2019
2748,5.70,11/10/2018,2/18/2019
2749,10.61,10/17/2018,5/9/2019
2750,11.91,8/11/2018,2/3/2019
2751,11.49,7/29/2018,2/22/2019
2752,19.26,8/15/2018,2/3/2019
2753,8.78,1/20/2018,12/8/2018
2754,6.07,5/7/2018,5/14/2019
2755,4.07,8/4/2018,1/8/2019
2756,16.44,1/24/2018,2/12/2019
2757,4.95,8/27/2018,4/27/2019
2758,9.20,4/5/2018,12/24/2018
2759,3.89,1/20/2018,12/2/2018
2760,11.11,8/2/2018,1/30/2019
2761,9.74,10/5/2018,12/27/2018
2762,13.88,10/28/2018,4/29/2019
2763,19.00,8/19/2018,3/5/2019
2764,19.66,1/30/2018,12/11/2018
2765,14.50,8/13/2018,1/6/2019
2766,8.07,4/11/2018,12/10/2018
2767,1.98,5/29/2018,4/13/2019
2768,5.43,2/15/2018,1/25/2019
2769,2.66,5/31/2018,1/31/2019
2770,7.16,2/26/2018,12/11/2018
2771,18.39,6/11/2018,5/6/2019
2772,2.10,8/15/2018,2/28/2019
2773,13.01,8/27/2018,1/14/2019
2774,6.85,4/4/2018,12/31/2018
2775,19.87,11/3/2018,2/20/2019
2776,4.51,10/27/2018,3/25/2019
2777,14.01,11/21/2018,4/17/2019
2778,4.83,6/18/2018,12/17/2018
2779,13.77,6/19/2018,5/9/2019
2780,1.24,7/2/2018,4/30/2019
2781,9.32,6/27/2018,12/2/2018
2782,16.48,2/8/2018,2/24/2019
2783,6.06,8/17/2018,1/18/2019
2784,17.35,11/3/2018,1/10/2019
2785,17.00,5/12/2018,12/22/2018
2786,9.58,1/10/2018,3/18/2019
2787,2.81,11/13/2018,3/6/2019
2788,14.35,3/31/2018,3/23/2019
2789,17.56,11/11/2018,1/25/2019
2790,13.85,9/24/2018,12/10/2018
2791,0.40,9/20/2018,1/23/2019
2792,14.16,3/27/2018,4/26/2019
2793,2.52,5/16/2018,3/4/2019
2794,5.45,8/2/2018,4/9/2019
2795,19.92,9/2/2018,3/11/2019
2796,2.11,9/15/2018,5/17/2019
2797,11.48,9/5/2018,2/27/2019
2798,15.45,3/21/2018,4/13/2019
2799,5.69,2/18/2018,3/24/2019
2800,9.43,11/13/2018,1/1/2019
2801,0.90,4/22/2018,4/26/2019
2802,14.17,8/6/2018,1/26/2019
2803,12.65,7/7/2018,2/23/2019
2804,0.81,8/15/2018,1/30/2019
2805,6.74,3/1/2018,4/11/2019
2806,3.67,7/31/2018,1/27/2019
2807,3.89,2/15/2018,2/22/2019
2808,10.62,11/3/2018,2/19/2019
2809,11.53,10/31/2018,12/31/2018
2810,0.64,1/18/2018,3/13/2019
2811,16.33,6/11/2018,4/7/2019
2812,17.67,4/16/2018,5/15/2019
2813,14.72,2/17/2018,3/7/2019
2814,4.43,1/1/2018,12/9/2018
2815,11.18,9/23/2018,1/24/2019
2816,8.08,4/9/2018,1/1/2019
2817,19.14,10/23/2018,3/23/2019
2818,12.31,7/17/2018,5/5/2019
2819,10.70,1/18/2018,12/24/2018
2820,1.91,3/25/2018,1/19/2019
2821,13.08,5/1/2018,2/22/2019
2822,3.33,1/11/2018,12/16/2018
2823,6.47,9/15/2018,12/11/2018
2824,4.61,4/28/2018,1/27/2019
2825,13.78,8/18/2018,4/27/2019
2826,7.69,10/20/2018,1/22/2019
2827,1.03,3/20/2018,5/13/2019
2828,19.11,7/2/2018,4/11/2019
2829,16.76,7/18/2018,4/4/2019
2830,3.91,4/24/2018,3/2/2019
2831,15.15,2/18/2018,12/25/2018
2832,8.93,11/6/2018,2/12/2019
2833,16.51,10/31/2018,4/9/2019
2834,19.77,10/6/2018,3/14/2019
2835,8.38,6/19/2018,5/14/2019
2836,4.90,9/25/2018,1/10/2019
2837,9.16,8/14/2018,12/17/2018
2838,14.92,7/26/2018,12/3/2018
2839,1.35,1/27/2018,5/12/2019
2840,9.04,1/23/2018,3/30/2019
2841,2.68,6/4/2018,1/18/2019
2842,4.21,2/20/2018,12/15/2018
2843,13.53,9/8/2018,4/23/2019
2844,14.16,2/4/2018,4/29/2019
2845,16.15,2/24/2018,4/29/2019
2846,3.19,4/4/2018,5/5/2019
2847,8.16,7/11/2018,12/19/2018
2848,4.93,2/26/2018,2/1/2019
2849,15.83,1/24/2018,4/27/2019
2850,9.67,9/2/2018,3/8/2019
2851,2.67,3/26/2018,12/6/2018
2852,4.08,6/5/2018,12/17/2018
2853,3.07,1/29/2018,1/4/2019
2854,20.00,10/19/2018,3/7/2019
2855,9.37,11/30/2018,1/4/2019
2856,11.64,1/1/2018,3/9/2019
2857,0.06,1/31/2018,1/5/2019
2858,0.00,8/17/2018,12/14/2018
2859,7.61,2/16/2018,5/17/2019
2860,10.43,8/24/2018,1/18/2019
2861,3.08,7/13/2018,5/9/2019
2862,19.37,5/31/2018,5/4/2019
2863,4.90,11/24/2018,1/20/2019
2864,10.71,7/31/2018,12/6/2018
2865,7.18,8/12/2018,5/14/2019
2866,10.85,7/10/2018,12/19/2018
2867,5.72,9/11/2018,4/4/2019
2868,8.36,6/14/2018,1/8/2019
2869,12.75,3/8/2018,12/25/2018
2870,3.40,8/23/2018,2/10/2019
2871,8.05,5/26/2018,1/30/2019
2872,0.88,9/5/2018,2/27/2019
2873,2.71,4/26/2018,3/21/2019
2874,12.73,4/12/2018,1/23/2019
2875,6.08,1/12/2018,3/21/2019
2876,2.03,4/5/2018,3/29/2019
2877,10.69,7/16/2018,3/8/2019
2878,3.22,4/14/2018,3/24/2019
2879,7.25,4/27/2018,2/13/2019
2880,17.22,5/4/2018,2/21/2019
2881,14.02,3/31/2018,4/1/2019
2882,0.08,6/15/2018,1/27/2019
2883,17.05,3/3/2018,4/22/2019
2884,11.68,2/9/2018,5/14/2019
2885,17.59,7/9/2018,4/1/2019
2886,6.85,9/16/2018,4/20/2019
2887,1.23,8/23/2018,5/12/2019
2888,5.39,1/12/2018,2/19/2019
2889,4.77,7/13/2018,5/3/2019
2890,10.42,7/22/2018,4/29/2019
2891,16.43,8/19/2018,4/16/2019
2892,4.53,3/27/2018,3/20/2019
2893,8.73,7/27/2018,4/11/2019
2894,8.71,5/26/2018,12/15/2018
2895,18.43,1/27/2018,12/29/2018
2896,0.31,10/4/2018,4/15/2019
2897,2.02,1/19/2018,12/17/2018
2898,4.40,3/3/2018,3/20/2019
2899,13.25,8/16/2018,4/28/2019
2900,0.55,11/28/2018,2/1/2019
2901,17.17,10/29/2018,12/23/2018
2902,8.62,5/13/2018,1/26/2019
2903,12.25,4/23/2018,2/8/2019
2904,12.66,7/14/2018,1/28/2019
2905,19.06,7/26/2018,12/26/2018
2906,11.17,11/23/2018,4/19/2019
2907,3.46,7/26/2018,12/9/2018
2908,10.47,8/22/2018,3/17/2019
2909,10.57,4/28/2018,3/25/2019
2910,13.72,4/26/2018,2/13/2019
2911,6.36,11/2/2018,2/19/2019
2912,0.56,3/26/2018,12/19/2018
2913,2.32,1/29/2018,12/22/2018
2914,2.77,2/16/2018,3/21/2019
2915,19.25,8/7/2018,2/18/2019
2916,7.11,11/29/2018,1/17/2019
2917,19.58,2/25/2018,2/10/2019
2918,19.42,5/21/2018,3/23/2019
2919,6.40,3/28/2018,4/11/2019
2920,17.08,11/23/2018,12/15/2018
2921,14.47,8/10/2018,3/27/2019
2922,7.53,10/5/2018,1/24/2019
2923,9.94,9/11/2018,2/14/2019
2924,15.79,8/4/2018,4/3/2019
2925,6.85,4/11/2018,1/12/2019
2926,1.52,11/26/2018,3/30/2019
2927,10.62,8/19/2018,4/29/2019
2928,16.67,7/30/2018,3/19/2019
2929,12.35,11/7/2018,4/15/2019
2930,3.60,3/6/2018,12/28/2018
2931,9.81,4/25/2018,4/30/2019
2932,2.05,9/19/2018,3/27/2019
2933,15.09,11/17/2018,2/19/2019
2934,8.47,11/7/2018,12/2/2018
2935,7.79,10/22/2018,4/17/2019
2936,19.47,1/4/2018,4/22/2019
2937,18.39,6/1/2018,12/21/2018
2938,3.57,1/27/2018,1/6/2019
2939,8.93,6/20/2018,2/16/2019
2940,19.06,6/11/2018,1/26/2019
2941,0.78,3/26/2018,2/5/2019
2942,2.06,9/16/2018,4/28/2019
2943,4.82,2/15/2018,12/16/2018
2944,12.99,6/5/2018,3/25/2019
2945,11.06,5/13/2018,1/18/2019
2946,1.22,9/28/2018,3/20/2019
2947,6.78,5/4/2018,3/12/2019
2948,6.06,9/27/2018,2/10/2019
2949,16.21,10/13/2018,1/1/2019
2950,0.72,5/26/2018,3/27/2019
2951,6.11,4/12/2018,2/9/2019
2952,15.54,6/24/2018,5/5/2019
2953,19.57,11/14/2018,3/17/2019
2954,8.16,4/16/2018,5/1/2019
2955,19.96,10/24/2018,1/3/2019
2956,17.76,9/27/2018,12/28/2018
2957,7.98,2/9/2018,1/7/2019
2958,4.76,9/4/2018,3/26/2019
2959,8.21,2/24/2018,1/29/2019
2960,11.33,6/23/2018,4/21/2019
2961,4.41,5/27/2018,12/6/2018
2962,1.20,11/3/2018,4/17/2019
2963,5.88,9/14/2018,1/11/2019
2964,3.45,9/10/2018,4/10/2019
2965,13.34,3/1/2018,2/8/2019
2966,3.48,3/5/2018,3/19/2019
2967,17.85,6/7/2018,2/13/2019
2968,8.55,8/23/2018,3/29/2019
2969,9.78,10/6/2018,1/14/2019
2970,7.05,3/5/2018,4/26/2019
2971,18.68,9/13/2018,4/11/2019
2972,13.18,3/11/2018,12/4/2018
2973,7.78,9/9/2018,1/30/2019
2974,0.88,8/26/2018,12/3/2018
2975,18.63,1/9/2018,4/21/2019
2976,15.86,1/20/2018,5/5/2019
2977,5.53,8/15/2018,2/17/2019
2978,1.32,3/21/2018,4/6/2019
2979,10.80,6/15/2018,4/18/2019
2980,17.97,5/15/2018,5/9/2019
2981,14.60,5/27/2018,3/15/2019
2982,7.85,7/30/2018,12/7/2018
2983,19.65,6/2/2018,5/4/2019
2984,15.71,8/2/2018,1/31/2019
2985,11.58,10/12/2018,1/27/2019
2986,6.71,10/30/2018,12/25/2018
2987,11.84,2/1/2018,1/6/2019
2988,2.41,3/19/2018,4/14/2019
2989,15.14,2/5/2018,4/15/2019
2990,15.67,9/11/2018,2/20/2019
2991,16.58,2/3/2018,2/19/2019
2992,5.04,11/2/2018,4/4/2019
2993,17.94,6/7/2018,3/20/2019
2994,17.34,5/7/2018,12/8/2018
2995,12.65,5/13/2018,4/6/2019
2996,19.38,4/7/2018,12/20/2018
2997,5.95,3/12/2018,3/22/2019
2998,7.43,2/13/2018,3/3/2019
2999,14.80,4/28/2018,12/10/2018
3000,1.72,7/24/2018,2/14/2019
3001,1.33,1/25/2018,1/13/2019
3002,6.72,2/24/2018,3/12/2019
3003,17.46,4/21/2018,4/16/2019
3004,15.26,7/23/2018,4/2/2019
3005,5.65,11/20/2018,3/5/2019
3006,1.78,11/16/2018,12/2/2018
3007,14.54,6/20/2018,12/20/2018
3008,15.10,2/16/2018,2/21/2019
3009,1.54,2/19/2018,1/22/2019
3010,7.17,10/25/2018,12/24/2018
3011,5.83,3/19/2018,3/18/2019
3012,2.59,11/23/2018,2/4/2019
3013,15.48,2/15/2018,1/5/2019
3014,1.48,10/25/2018,1/21/2019
3015,7.46,3/8/2018,1/2/2019
3016,6.01,4/2/2018,3/28/2019
3017,15.67,3/11/2018,3/28/2019
3018,18.34,6/15/2018,1/17/2019
3019,7.06,1/21/2018,1/4/2019
3020,11.44,1/11/2018,1/13/2019
3021,1.94,1/5/2018,2/25/2019
3022,9.51,1/16/2018,3/13/2019
3023,8.95,7/27/2018,1/22/2019
3024,0.69,9/17/2018,12/10/2018
3025,11.41,7/27/2018,2/5/2019
3026,1.42,6/7/2018,1/24/2019
3027,13.49,10/3/2018,4/3/2019
3028,12.46,10/2/2018,1/26/2019
3029,1.99,4/13/2018,1/7/2019
3030,2.33,8/13/2018,3/9/2019
3031,6.26,10/1/2018,3/11/2019
3032,16.53,9/14/2018,1/1/2019
3033,11.88,8/11/2018,4/11/2019
3034,9.52,8/21/2018,12/30/2018
3035,0.36,10/17/2018,3/6/2019
3036,17.91,3/12/2018,3/11/2019
3037,17.90,1/27/2018,4/20/2019
3038,10.29,8/29/2018,12/3/2018
3039,14.22,5/11/2018,1/23/2019
3040,4.78,8/2/2018,1/17/2019
3041,15.21,6/25/2018,1/2/2019
3042,8.98,3/18/2018,2/24/2019
3043,19.11,10/21/2018,3/20/2019
3044,19.27,6/27/2018,3/27/2019
3045,7.11,10/9/2018,3/4/2019
3046,12.85,7/20/2018,1/27/2019
3047,18.54,11/2/2018,2/15/2019
3048,18.42,5/17/2018,1/15/2019
3049,3.71,8/27/2018,3/24/2019
3050,3.58,7/7/2018,1/4/2019
3051,15.50,1/4/2018,2/12/2019
3052,7.22,10/20/2018,4/19/2019
3053,9.58,10/24/2018,4/24/2019
3054,13.36,2/10/2018,3/29/2019
3055,13.81,3/31/2018,3/30/2019
3056,19.48,4/14/2018,3/14/2019
3057,6.17,7/19/2018,12/18/2018
3058,10.43,8/10/2018,1/23/2019
3059,13.28,10/6/2018,12/9/2018
3060,1.50,6/18/2018,1/6/2019
3061,17.02,5/2/2018,4/17/2019
3062,17.73,2/11/2018,1/26/2019
3063,19.32,1/17/2018,5/5/2019
3064,9.40,5/5/2018,5/3/2019
3065,7.21,5/16/2018,2/2/2019
3066,3.64,10/8/2018,5/13/2019
3067,12.43,2/20/2018,1/31/2019
3068,3.92,3/31/2018,5/4/2019
3069,12.87,3/17/2018,3/4/2019
3070,13.22,11/15/2018,12/11/2018
3071,19.65,3/7/2018,2/1/2019
3072,12.68,8/17/2018,1/5/2019
3073,18.18,1/12/2018,5/12/2019
3074,14.41,11/12/2018,3/23/2019
3075,9.09,11/16/2018,2/28/2019
3076,14.87,11/1/2018,3/14/2019
3077,5.70,3/1/2018,4/3/2019
3078,1.65,9/22/2018,1/7/2019
3079,8.85,2/11/2018,2/23/2019
3080,7.32,8/26/2018,5/2/2019
3081,4.69,11/6/2018,12/14/2018
3082,11.36,10/27/2018,3/8/2019
3083,14.56,3/16/2018,5/7/2019
3084,18.47,8/7/2018,5/5/2019
3085,15.13,6/28/2018,2/10/2019
3086,3.70,10/10/2018,2/17/2019
3087,2.05,7/13/2018,3/29/2019
3088,10.95,6/2/2018,12/5/2018
3089,7.22,6/9/2018,3/15/2019
3090,5.33,9/26/2018,3/4/2019
3091,6.81,4/25/2018,1/11/2019
3092,13.48,7/3/2018,3/7/2019
3093,9.32,9/12/2018,12/25/2018
3094,0.77,2/28/2018,4/27/2019
3095,19.47,8/8/2018,4/11/2019
3096,3.44,2/25/2018,12/10/2018
3097,1.09,7/2/2018,1/22/2019
3098,0.14,6/5/2018,3/22/2019
3099,8.54,11/13/2018,3/12/2019
3100,9.98,8/4/2018,5/4/2019
3101,9.11,8/25/2018,5/13/2019
3102,6.28,8/24/2018,12/25/2018
3103,5.75,6/9/2018,2/22/2019
3104,2.92,7/16/2018,4/19/2019
3105,12.57,2/17/2018,1/17/2019
3106,15.82,6/10/2018,3/17/2019
3107,10.53,9/10/2018,3/27/2019
3108,14.84,9/14/2018,3/12/2019
3109,15.16,8/3/2018,2/13/2019
3110,13.72,8/23/2018,4/16/2019
3111,10.39,1/20/2018,12/10/2018
3112,2.69,6/1/2018,4/29/2019
3113,19.07,2/18/2018,12/25/2018
3114,18.60,11/18/2018,12/18/2018
3115,4.59,3/20/2018,1/15/2019
3116,4.01,5/8/2018,1/12/2019
3117,15.56,4/19/2018,4/1/2019
3118,5.12,5/26/2018,4/20/2019
3119,14.18,6/14/2018,1/6/2019
3120,2.01,2/26/2018,1/14/2019
3121,5.95,7/12/2018,3/8/2019
3122,12.49,4/16/2018,12/12/2018
3123,6.47,8/20/2018,5/8/2019
3124,2.51,9/21/2018,3/12/2019
3125,6.87,7/11/2018,3/27/2019
3126,12.73,8/17/2018,1/14/2019
3127,3.91,2/3/2018,3/29/2019
3128,0.69,3/9/2018,4/30/2019
3129,11.09,9/12/2018,4/18/2019
3130,10.52,1/3/2018,4/9/2019
3131,18.47,7/12/2018,2/27/2019
3132,17.08,10/20/2018,12/27/2018
3133,5.34,6/19/2018,3/25/2019
3134,13.64,8/3/2018,2/25/2019
3135,17.61,2/19/2018,3/19/2019
3136,5.72,8/16/2018,5/11/2019
3137,4.46,9/8/2018,2/13/2019
3138,10.20,2/27/2018,1/3/2019
3139,16.95,7/3/2018,5/11/2019
3140,2.97,8/26/2018,4/24/2019
3141,19.79,7/22/2018,3/3/2019
3142,8.23,10/23/2018,5/2/2019
3143,5.79,9/8/2018,2/22/2019
3144,16.46,3/18/2018,1/27/2019
3145,7.04,4/16/2018,12/15/2018
3146,10.62,10/22/2018,12/8/2018
3147,11.56,9/2/2018,12/2/2018
3148,19.35,2/15/2018,2/18/2019
3149,10.88,8/3/2018,3/8/2019
3150,0.31,11/10/2018,1/22/2019
3151,18.73,8/12/2018,2/20/2019
3152,14.15,7/24/2018,5/4/2019
3153,7.95,8/4/2018,2/9/2019
3154,18.28,6/1/2018,1/5/2019
3155,14.06,9/25/2018,3/27/2019
3156,18.50,9/14/2018,12/16/2018
3157,15.64,2/1/2018,3/29/2019
3158,9.84,3/4/2018,12/26/2018
3159,19.62,10/19/2018,2/24/2019
3160,13.55,4/1/2018,5/11/2019
3161,3.29,3/13/2018,1/22/2019
3162,16.55,10/14/2018,4/8/2019
3163,19.43,1/8/2018,3/6/2019
3164,6.51,1/30/2018,2/8/2019
3165,2.65,8/6/2018,3/27/2019
3166,5.04,8/4/2018,1/16/2019
3167,10.09,8/20/2018,2/17/2019
3168,14.32,6/27/2018,4/10/2019
3169,4.22,11/7/2018,4/25/2019
3170,7.16,10/17/2018,5/11/2019
3171,13.89,2/17/2018,2/24/2019
3172,19.10,1/29/2018,12/29/2018
3173,8.61,6/23/2018,2/16/2019
3174,6.26,6/20/2018,12/14/2018
3175,15.13,8/23/2018,12/14/2018
3176,17.81,7/11/2018,2/2/2019
3177,10.52,5/9/2018,3/10/2019
3178,4.51,6/15/2018,5/2/2019
3179,9.43,1/22/2018,3/26/2019
3180,19.17,1/3/2018,4/5/2019
3181,14.64,3/23/2018,1/23/2019
3182,2.64,8/13/2018,2/15/2019
3183,0.87,10/16/2018,2/23/2019
3184,11.31,2/2/2018,1/2/2019
3185,4.84,1/3/2018,2/22/2019
3186,16.44,8/11/2018,4/11/2019
3187,17.15,9/27/2018,3/2/2019
3188,18.05,4/3/2018,4/24/2019
3189,11.82,8/15/2018,3/20/2019
3190,1.71,1/15/2018,12/7/2018
3191,15.77,11/21/2018,12/29/2018
3192,19.71,7/10/2018,2/18/2019
3193,3.45,1/9/2018,12/2/2018
3194,3.77,6/19/2018,4/22/2019
3195,18.10,6/18/2018,12/25/2018
3196,11.65,2/17/2018,4/5/2019
3197,15.93,5/1/2018,1/4/2019
3198,4.29,8/9/2018,5/9/2019
3199,1.35,7/27/2018,3/17/2019
3200,0.81,7/23/2018,4/5/2019
3201,3.44,5/23/2018,5/16/2019
3202,7.36,10/29/2018,1/22/2019
3203,11.14,8/16/2018,3/25/2019
3204,6.66,8/7/2018,5/6/2019
3205,10.25,9/18/2018,5/2/2019
3206,14.67,10/8/2018,4/7/2019
3207,12.54,1/13/2018,3/29/2019
3208,9.66,6/10/2018,1/30/2019
3209,9.08,8/29/2018,4/18/2019
3210,17.88,4/2/2018,1/6/2019
3211,19.55,1/3/2018,1/2/2019
3212,13.32,2/10/2018,4/17/2019
3213,18.39,10/6/2018,2/4/2019
3214,2.71,7/27/2018,12/13/2018
3215,9.95,10/17/2018,4/7/2019
3216,3.53,11/12/2018,3/31/2019
3217,13.01,9/7/2018,3/29/2019
3218,9.98,10/1/2018,2/26/2019
3219,17.57,8/22/2018,4/9/2019
3220,4.27,11/13/2018,1/5/2019
3221,16.83,4/13/2018,3/30/2019
3222,1.72,4/18/2018,1/22/2019
3223,3.12,7/4/2018,12/7/2018
3224,14.19,8/30/2018,1/15/2019
3225,17.14,10/5/2018,5/9/2019
3226,3.27,7/3/2018,1/17/2019
3227,2.87,1/14/2018,5/17/2019
3228,16.22,11/16/2018,1/19/2019
3229,4.51,10/25/2018,3/19/2019
3230,14.11,2/10/2018,12/18/2018
3231,10.33,8/30/2018,1/23/2019
3232,8.23,4/6/2018,5/14/2019
3233,4.57,6/26/2018,12/18/2018
3234,18.38,8/15/2018,4/12/2019
3235,3.29,3/20/2018,4/18/2019
3236,0.02,8/10/2018,4/14/2019
3237,16.70,7/15/2018,3/3/2019
3238,16.02,11/9/2018,1/26/2019
3239,17.80,8/9/2018,3/31/2019
3240,2.94,4/11/2018,3/30/2019
3241,19.99,2/4/2018,12/15/2018
3242,12.80,6/11/2018,12/8/2018
3243,6.60,7/10/2018,4/1/2019
3244,4.20,1/24/2018,3/28/2019
3245,16.58,8/28/2018,2/16/2019
3246,8.08,2/8/2018,2/9/2019
3247,5.20,6/16/2018,4/3/2019
3248,6.87,8/5/2018,4/27/2019
3249,8.31,1/14/2018,12/15/2018
3250,9.09,1/6/2018,12/15/2018
3251,11.86,4/23/2018,2/11/2019
3252,9.87,3/10/2018,12/28/2018
3253,6.90,10/14/2018,4/23/2019
3254,13.36,6/26/2018,5/12/2019
3255,14.91,5/25/2018,4/29/2019
3256,9.38,11/6/2018,12/2/2018
3257,13.69,1/6/2018,1/28/2019
3258,0.65,5/18/2018,2/18/2019
3259,7.97,6/3/2018,2/12/2019
3260,11.26,9/21/2018,4/30/2019
3261,5.41,2/27/2018,5/11/2019
3262,4.47,1/12/2018,1/9/2019
3263,13.97,2/8/2018,4/25/2019
3264,10.25,11/15/2018,4/14/2019
3265,6.03,4/29/2018,1/9/2019
3266,16.21,8/17/2018,1/19/2019
3267,19.58,4/1/2018,2/26/2019
3268,18.00,2/27/2018,3/14/2019
3269,10.58,3/26/2018,3/6/2019
3270,13.59,6/7/2018,4/7/2019
3271,11.03,9/2/2018,12/8/2018
3272,13.61,9/13/2018,1/25/2019
3273,8.69,6/19/2018,2/28/2019
3274,18.18,8/8/2018,4/22/2019
3275,5.57,10/6/2018,4/19/2019
3276,8.95,9/27/2018,2/27/2019
3277,5.30,2/28/2018,5/9/2019
3278,11.26,1/30/2018,4/23/2019
3279,9.45,10/18/2018,2/2/2019
3280,19.02,2/28/2018,2/5/2019
3281,2.95,6/5/2018,4/25/2019
3282,0.22,10/21/2018,2/12/2019
3283,2.22,2/18/2018,12/15/2018
3284,8.63,8/15/2018,5/15/2019
3285,1.70,7/29/2018,12/26/2018
3286,10.57,7/14/2018,4/15/2019
3287,1.05,9/11/2018,3/3/2019
3288,16.33,5/13/2018,3/10/2019
3289,7.57,6/12/2018,12/10/2018
3290,14.26,6/5/2018,5/8/2019
3291,3.75,11/17/2018,12/30/2018
3292,5.07,9/27/2018,3/6/2019
3293,7.87,3/24/2018,4/26/2019
3294,9.21,3/9/2018,3/14/2019
3295,14.29,3/9/2018,2/15/2019
3296,9.70,5/28/2018,2/23/2019
3297,6.81,8/9/2018,4/26/2019
3298,18.00,3/31/2018,3/24/2019
3299,2.62,4/20/2018,4/10/2019
3300,2.97,4/21/2018,3/17/2019
3301,15.16,3/30/2018,2/12/2019
